PLAYER_ID,PLAYER,TEAM,AGE,HEIGHT,HEIGHT_IN,WEIGHT,POSITION
1629011,Mitchell Robinson,NYK,27.0,7-0,84,240,Center-Forward
1628964,Mo Bamba,NOP,27.0,7-0,84,231,Center
1628420,Monté Morris,PHX,30.0,6-2,74,183,Guard
1629021,Moritz Wagner,ORL,28.0,6-11,83,245,Forward-Center
1629650,Moses Brown,DAL,25.0,7-2,86,258,Center
1630541,Moses Moody,GSW,23.0,6-5,77,211,Guard
1631243,Mouhamed Gueye,ATL,22.0,6-10,82,210,Forward
1631217,Moussa Diabaté,CHA,23.0,6-9,81,210,Forward
1626167,Myles Turner,IND,29.0,6-11,83,250,Center-Forward
1642368,N'Faly Dante,HOU,23.0,6-11,83,230,Center
1641772,Nae'Qwan Tomlin,CLE,24.0,6-10,82,210,Forward
1630230,Naji Marshall,DAL,27.0,6-6,78,220,Forward
1631466,Nate Williams,HOU,26.0,6-5,77,205,Guard
1629675,Naz Reid,MIN,25.0,6-9,81,264,Center-Forward
1629674,Neemias Queta,BOS,25.0,7-0,84,248,Center
1629651,Nic Claxton,BKN,26.0,6-11,83,215,Center
1630208,Nick Richards,PHX,27.0,7-0,84,245,Center
1641733,Nick Smith Jr.,CHA,21.0,6-2,74,185,Guard
1629638,Nickeil Alexander-Walker,MIN,26.0,6-5,77,205,Guard
201587,Nicolas Batum,LAC,36.0,6-8,80,230,Guard-Forward
203999,Nikola Jokić,DEN,30.0,6-11,83,284,Center
1631107,Nikola Jović,MIA,22.0,6-10,82,205,Forward
202696,Nikola Vučević,CHI,34.0,6-10,82,260,Center
1641730,Noah Clowney,BKN,20.0,6-9,81,210,Forward-Center
1626181,Norman Powell,LAC,32.0,6-4,76,215,Guard
1628384,OG Anunoby,NYK,27.0,6-7,79,240,Forward-Guard
1630167,Obi Toppin,IND,27.0,6-9,81,220,Forward
1630534,Ochai Agbaji,TOR,25.0,6-5,77,215,Guard
1641765,Olivier-Maxence Prosper,DAL,22.0,6-7,79,230,Forward
1630168,Onyeka Okongwu,ATL,24.0,6-10,82,240,Forward-Center
1631115,Orlando Robinson,TOR,24.0,6-10,82,235,Center
1631131,Oscar Tshiebwe,UTA,25.0,6-8,80,255,Forward-Center
1629052,Oshae Brissett,PHI,27.0,6-7,79,210,Forward-Guard
1642345,Oso Ighodaro,PHX,22.0,7-0,84,235,Forward
1631172,Ousmane Dieng,OKC,22.0,6-9,81,185,Forward
200782,P.J. Tucker,NYK,40.0,6-5,77,245,Forward
1629023,P.J. Washington,DAL,26.0,6-6,78,230,Forward
1628408,PJ Dozier,MIN,28.0,6-6,78,205,Guard-Forward
1641790,PJ Hall,DEN,23.0,6-10,82,245,Center
